language,prompting_technique,model,n,raidar_mean,raidar_std,judge_p_ai_mean,judge_p_ai_std,judge_ai_rate,combo_mean,combo_rank_mean,raidar_err,judge_err,raidar_ci95_lo,raidar_ci95_hi,judge_ci95_lo,judge_ci95_hi,rank_by_raidar,rank_by_judge,rank_by_combo
bangla,chain-of-thought,gemini_2_5_flash,10,0.9028711181021677,0.03691681918780401,0.545,0.3964074783463209,0.5,0.7239355590510839,0.5747491638795987,0,0,0.8764642512875799,0.9292779849167555,0.26144687393717564,0.8285531260628245,4.0,38.0,30.0
bangla,chain-of-thought,gemini_2_5_pro,10,0.8882715229375544,0.05015967608467866,0.324,0.31676138934184794,0.2,0.6061357614687772,0.48528428093645487,0,0,0.852391945146937,0.9241511007281719,0.09741829538994107,0.550581704610059,13.0,52.0,52.0
bangla,chain-of-thought,gemma_3_12b_it,10,0.8588650348066362,0.06878107466046061,0.8460000000000001,0.24473114500065848,0.9,0.8524325174033182,0.5725334448160535,0,0,0.8096654364153686,0.9080646331979039,0.670942048269723,1.0210579517302771,33.0,15.0,7.0
bangla,chain-of-thought,gpt_4o,10,0.8869828151935089,0.043907402583219575,0.766,0.3246605064439536,0.8,0.8264914075967544,0.5938963210702342,0,0,0.8555755336969326,0.9183900966900851,0.533768,0.998232,15.0,25.0,10.0
bangla,chain-of-thought,mistralai_Mistral_7B_Instruct_v0_2,10,0.45443209871613915,0.15039736766505815,0.962,0.015491933384829687,1.0,0.7082160493580696,0.5158026755852843,0,0,0.3468517777520884,0.5620124196801899,0.9509185084036489,0.973081491596351,56.0,1.5,34.0
bangla,few-shot,gemini_2_5_flash,10,0.8962509531451619,0.043952794646963875,0.535,0.405825633054942,0.5,0.7156254765725809,0.5451923076923076,0,0,0.864811202378261,0.9276907039120628,0.24471000000000004,0.8252900000000001,7.0,39.0,32.0
bangla,few-shot,gemini_2_5_pro,10,0.8993986761769603,0.058237889454347866,0.30100000000000005,0.32637572077455623,0.2,0.6001993380884802,0.47562709030100336,0,0,0.8577406941455151,0.9410566582084056,0.06754109482823328,0.5344589051717668,5.0,54.5,53.0
bangla,few-shot,gemma_3_12b_it,10,0.8360072487225549,0.04390937536491203,0.608,0.39437151125415854,0.6,0.7220036243612775,0.4205267558528428,0,0,0.8045985560810168,0.8674159413640931,0.3259032158708646,0.8900967841291354,40.0,37.0,31.0
bangla,few-shot,gpt_4o,10,0.8715198249570125,0.04923625246945505,0.6220000000000001,0.3857978745405423,0.6,0.7467599124785063,0.5196906354515051,0,0,0.8363007787332293,0.9067388711807958,0.34603600000000007,0.8979640000000002,24.0,33.5,27.0
bangla,few-shot,mistralai_Mistral_7B_Instruct_v0_2,10,0.6155513612484352,0.07890213940975202,0.9470000000000001,0.022135943621178607,1.0,0.7812756806242176,0.4873745819397993,0,0,0.5591120923022176,0.6719906301946529,0.931166,0.9628340000000001,48.0,8.0,18.0
bangla,zero-shot,gemini_2_5_flash,10,0.8917768183540822,0.05559694505388693,0.40099999999999997,0.3603532217761407,0.3,0.6463884091770411,0.5242892976588629,0,0,0.8520079228848602,0.9315457138233042,0.14323674349512105,0.6587632565048789,9.0,48.0,47.0
bangla,zero-shot,gemini_2_5_pro,10,0.8659813950001946,0.050953064658425605,0.375,0.37627560820937267,0.3,0.6204906975000972,0.428386287625418,0,0,0.8295343006450386,0.9024284893553505,0.1058473457310889,0.6441526542689111,27.0,49.0,49.0
bangla,zero-shot,gemma_3_12b_it,10,0.8753651918460952,0.04117893743190387,0.6220000000000001,0.38579787454054226,0.6,0.7486825959230476,0.5248745819397993,0,0,0.845909601135567,0.9048207825566233,0.3460360000000001,0.8979640000000001,21.0,33.5,26.0
bangla,zero-shot,gpt_4o,10,0.8552403152901322,0.053543381737852544,0.766,0.3246605064439536,0.8,0.8106201576450662,0.5251672240802676,0,0,0.8169403484603461,0.8935402821199183,0.533768,0.998232,35.0,25.0,13.0
bangla,zero-shot,mistralai_Mistral_7B_Instruct_v0_2,10,0.5533436609984759,0.08976877602770217,0.9469999999999998,0.009486832980505115,1.0,0.750171830499238,0.49331103678929766,0,0,0.4891314085665214,0.6175559134304304,0.9402139999999999,0.9537859999999998,53.0,9.0,25.0
hindi,chain-of-thought,gemini_2_5_flash,10,0.9112115196032031,0.03285306722092519,0.709,0.3408306845862848,0.7,0.8101057598016016,0.6436036789297659,0,0,0.8877114838568874,0.9347115553495189,0.46520135504068116,0.9527986449593188,2.0,30.0,14.0
hindi,chain-of-thought,gemini_2_5_pro,10,0.8717524176318209,0.04154393091465067,0.635,0.375980200424319,0.6,0.7533762088159104,0.5415551839464883,0,0,0.8420357444526744,0.9014690908109674,0.366058653048662,0.903941346951338,23.0,32.0,23.0
hindi,chain-of-thought,gemma_3_12b_it,10,0.8898066338331159,0.034293415763038064,0.843,0.24349537983296518,0.9,0.8664033169165579,0.615928093645485,0,0,0.8652763063944235,0.9143369612718082,0.668826,1.017174,10.0,18.0,4.0
hindi,chain-of-thought,gpt_4o,10,0.894164423324388,0.03712437641394502,0.9200000000000002,0.0,1.0,0.907082211662194,0.6533444816053512,0,0,0.8676090893301326,0.9207197573186433,0.9200000000000002,0.9200000000000002,8.0,12.5,2.0
hindi,chain-of-thought,mistralai_Mistral_7B_Instruct_v0_2,10,0.5255256482306223,0.09041411007954059,0.95,0.01414213562373093,1.0,0.7377628241153111,0.4914297658862877,0,0,0.4608517837006395,0.5901995127606051,0.9398840284697909,0.960115971530209,54.0,7.0,28.0
hindi,few-shot,gemini_2_5_flash,10,0.862909120399309,0.07462015628804733,0.421,0.34709748870694335,0.3,0.6419545601996546,0.493185618729097,0,0,0.8095327848391433,0.9162854559594747,0.1727186648900083,0.6692813351099917,31.0,47.0,48.0
hindi,few-shot,gemini_2_5_pro,10,0.866341617088476,0.05805355289680584,0.227,0.2434953798329652,0.1,0.546670808544238,0.40581103678929764,0,0,0.8248154923251044,0.9078677418518476,0.05282600000000001,0.40117400000000003,26.0,57.0,57.0
hindi,few-shot,gemma_3_12b_it,10,0.8018111703756002,0.07983530956217876,0.7050000000000001,0.33830459648074546,0.7,0.7534055851878001,0.4315217391304348,0,0,0.7447043980942463,0.8589179426569542,0.4630082840674087,0.9469917159325915,47.0,31.0,22.0
hindi,few-shot,gpt_4o,10,0.8684771386658303,0.03151194754085511,0.762,0.32279336355562754,0.8,0.8152385693329152,0.5302257525083612,0,0,0.8459364154917562,0.8910178618399044,0.5311035807640145,0.9928964192359855,25.0,28.5,12.0
hindi,few-shot,mistralai_Mistral_7B_Instruct_v0_2,9,0.5777694157412333,0.08453740854078653,0.9400000000000001,0.02121320343559637,1.0,0.7588847078706167,0.4536882199925678,0,0,0.5225383088279194,0.6330005226545472,0.9261407070887437,0.9538592929112564,52.0,10.0,21.0
hindi,zero-shot,gemini_2_5_flash,10,0.8897989036610087,0.030903572887883365,0.49800000000000005,0.36523356301900234,0.4,0.6938994518305044,0.5498327759197325,0,0,0.8676933552605972,0.9119044520614201,0.23674580023280012,0.7592541997672,11.0,42.0,38.0
hindi,zero-shot,gemini_2_5_pro,10,0.8835341734266235,0.025669600773833196,0.354,0.3017799050816855,0.2,0.6187670867133117,0.4959448160535117,0,0,0.8651725229992164,0.9018958238540307,0.1381346590487486,0.5698653409512513,17.0,51.0,50.0
hindi,zero-shot,gemma_3_12b_it,10,0.8842710149582054,0.05832179797407231,0.843,0.2434953798329652,0.9,0.8636355074791027,0.5957775919732441,0,0,0.8425530125578953,0.9259890173585155,0.6688259999999999,1.017174,16.0,18.0,5.0
hindi,zero-shot,gpt_4o,10,0.8441277976595731,0.03884753666846129,0.843,0.2434953798329652,0.9,0.8435638988297866,0.5094063545150502,0,0,0.8163398747169115,0.8719157206022348,0.6688259999999999,1.017174,39.0,18.0,9.0
hindi,zero-shot,mistralai_Mistral_7B_Instruct_v0_2,10,0.5996374073314412,0.05036018424830096,0.938,0.015491933384829603,1.0,0.7688187036657206,0.46078595317725746,0,0,0.5636144046063765,0.635660410056506,0.9269185084036489,0.949081491596351,49.0,11.0,19.0
tamil,chain-of-thought,gemini_2_5_flash,10,0.9098535466033832,0.037629573496039764,0.458,0.3976262902106281,0.4,0.6839267733016916,0.554180602006689,0,0,0.8829368414954866,0.9367702517112799,0.17357504902698856,0.7424249509730114,3.0,45.0,40.0
tamil,chain-of-thought,gemini_2_5_pro,9,0.8468738886171817,0.05304010602085333,0.4955555555555555,0.4098814191662971,0.4444444444444444,0.6712147220863687,0.4358509847640282,0,0,0.8122210193502242,0.8815267578841393,0.22776636170024145,0.7633447494108696,38.0,43.0,42.0
tamil,chain-of-thought,gemma_3_12b_it,10,0.8871196316217386,0.07097461595164742,0.618,0.40295574612273904,0.6,0.7525598158108693,0.572324414715719,0,0,0.836350977336625,0.9378882859068521,0.3297628508051053,0.9062371491948946,14.0,35.0,24.0
tamil,chain-of-thought,gpt_4o,10,0.91402729870367,0.047435810211701124,0.9200000000000002,0.0,1.0,0.917013649351835,0.7048494983277592,0,0,0.8800961218021596,0.9479584756051805,0.9200000000000002,0.9200000000000002,1.0,12.5,1.0
tamil,chain-of-thought,mistralai_Mistral_7B_Instruct_v0_2,9,0.5827757315482779,0.24179065502070568,0.9533333333333334,0.010000000000000005,1.0,0.7680545324408057,0.5621980676328503,0,0,0.42480583693475016,0.7407456261618056,0.9468,0.9598666666666668,51.0,6.0,20.0
tamil,few-shot,gemini_2_5_flash,10,0.8895732273430511,0.05459673025371991,0.531,0.4017862892412112,0.5,0.7102866136715256,0.5217391304347826,0,0,0.8505197927286666,0.9286266619574356,0.2435993717404223,0.8184006282595777,12.0,40.5,33.0
tamil,few-shot,gemini_2_5_pro,10,0.8321672655325338,0.040072166253717276,0.21800000000000003,0.24706274506691617,0.1,0.5250836327662669,0.29289297658862873,0,0,0.8035033562219637,0.860831174843104,0.041274237939116554,0.3947257620608835,43.0,59.0,59.0
tamil,few-shot,gemma_3_12b_it,10,0.8642961642049188,0.08115804689675604,0.373,0.3592291129008833,0.3,0.6186480821024595,0.43708193979933113,0,0,0.8062432283755309,0.9223491000343068,0.11604082667474203,0.629959173325258,29.0,50.0,51.0
tamil,few-shot,gpt_4o,10,0.851811728119179,0.05422204263735404,0.531,0.4017862892412112,0.5,0.6914058640595895,0.4434782608695652,0,0,0.8130263102570536,0.8905971459813045,0.2435993717404223,0.8184006282595777,36.0,40.5,39.0
tamil,few-shot,mistralai_Mistral_7B_Instruct_v0_2,10,0.46343648648682717,0.18955602390129245,0.873,0.254604268097244,0.9,0.6682182432434136,0.4542224080267559,0,0,0.327845696511132,0.5990272764625224,0.6908797321658021,1.055120267834198,55.0,14.0,43.0
tamil,zero-shot,gemini_2_5_flash,10,0.87999545308846,0.04685571062010158,0.45499999999999996,0.4003123780249619,0.4,0.6674977265442299,0.47704849498327756,0,0,0.8464792256054418,0.9135116805714781,0.16865367105548568,0.7413463289445142,19.0,46.0,44.0
tamil,zero-shot,gemini_2_5_pro,10,0.8637533195122297,0.03601345297356145,0.30100000000000005,0.32637572077455623,0.2,0.5823766597561149,0.39686454849498326,0,0,0.837992637061006,0.8895140019634533,0.06754109482823328,0.5344589051717668,30.0,54.5,55.0
tamil,zero-shot,gemma_3_12b_it,10,0.8991535299140183,0.04500109346385013,0.835,0.24125827562086974,0.9,0.8670767649570091,0.6198578595317726,0,0,0.8669639234485921,0.9313431363794445,0.662426216765118,1.007573783234882,6.0,21.0,3.0
tamil,zero-shot,gpt_4o,10,0.8565415112836607,0.03728299311972394,0.612,0.3976262902106281,0.6,0.7342707556418304,0.4699832775919733,0,0,0.8298727176166539,0.8832103049506675,0.32757504902698853,0.8964249509730114,34.0,36.0,29.0
tamil,zero-shot,mistralai_Mistral_7B_Instruct_v0_2,10,0.404415890193773,0.09241190207497596,0.9559999999999998,0.012649110640673504,1.0,0.6802079450968865,0.4866220735785953,0,0,0.33831299065190756,0.47051878973563843,0.9469519999999999,0.9650479999999998,59.0,5.0,41.0
telugu,chain-of-thought,gemini_2_5_flash,10,0.8760563889434507,0.06269383420661682,0.843,0.2434953798329652,0.9,0.8595281944717253,0.5854096989966555,0,0,0.8312110375179165,0.920901740368985,0.6688259999999999,1.017174,20.0,18.0,6.0
telugu,chain-of-thought,gemini_2_5_pro,10,0.8650109002874503,0.05476922249727954,0.304,0.3246605064439536,0.2,0.5845054501437251,0.4112876254180602,0,0,0.8258340807281426,0.904187719846758,0.07176800000000003,0.5362319999999999,28.0,53.0,54.0
telugu,chain-of-thought,gemma_3_12b_it,10,0.5985706037292065,0.3154438666598797,0.805,0.32101401838549043,0.8,0.7017853018646032,0.5307274247491639,0,0,0.37293133258858974,0.8242098748698232,0.575376359187474,1.034623640812526,50.0,22.0,36.0
telugu,chain-of-thought,gpt_4o,10,0.8596574145796974,0.05128702423261669,0.843,0.24349537983296518,0.9,0.8513287072898488,0.5426003344481606,0,0,0.822971436534366,0.8963433926250287,0.668826,1.017174,32.0,18.0,8.0
telugu,chain-of-thought,mistralai_Mistral_7B_Instruct_v0_2,10,0.45232203771157237,0.27833384546497064,0.959,0.014491376746189456,1.0,0.7056610188557861,0.5555602006688962,0,0,0.2532278321735804,0.6514162432495643,0.9486342137780098,0.9693657862219901,57.0,3.5,35.0
telugu,few-shot,gemini_2_5_flash,10,0.8279948985431409,0.05450203798385413,0.227,0.24349537983296518,0.1,0.5274974492715704,0.32244983277591976,0,0,0.7890091979918131,0.8669805990944687,0.05282600000000004,0.401174,45.0,57.0,58.0
telugu,few-shot,gemini_2_5_pro,10,0.833147806872233,0.05401727308200874,0.133,0.0294580681270476,0.0,0.4830739034361165,0.28097826086956523,0,0,0.794508862148765,0.871786751595701,0.11192843157237697,0.15407156842762304,41.0,60.0,60.0
telugu,few-shot,gemma_3_12b_it,9,0.8147120107777228,0.04763164891716044,0.49222222222222217,0.405825633054942,0.4444444444444444,0.6534671164999725,0.3644091415830546,0,0,0.7835926668185114,0.8458313547369343,0.22708280862632674,0.7573616358181177,46.0,44.0,46.0
telugu,few-shot,gpt_4o,10,0.8300582984170021,0.03888651250704437,0.762,0.3227933635556276,0.8,0.7960291492085011,0.4502090301003345,0,0,0.8022424957761135,0.8578741010578906,0.5311035807640144,0.9928964192359856,44.0,28.5,17.0
telugu,few-shot,mistralai_Mistral_7B_Instruct_v0_2,10,0.36663056164678004,0.12527781502808408,0.959,0.0202484567313166,1.0,0.66281528082339,0.473494983277592,0,0,0.27701843771379264,0.45624268557976744,0.9445161329749269,0.9734838670250731,60.0,3.5,45.0
telugu,zero-shot,gemini_2_5_flash,10,0.8725596589742717,0.05699291419772288,0.766,0.3246605064439536,0.8,0.819279829487136,0.5668896321070235,0,0,0.8317922167160909,0.9133271012324524,0.533768,0.998232,22.0,25.0,11.0
telugu,zero-shot,gemini_2_5_pro,10,0.883317217344854,0.048044334290807386,0.227,0.24349537983296518,0.1,0.555158608672427,0.43014214046822746,0,0,0.84895075878409,0.9176836759056181,0.05282600000000004,0.401174,18.0,57.0,56.0
telugu,zero-shot,gemma_3_12b_it,10,0.8494747705007599,0.06315263273996824,0.766,0.3246605064439536,0.8,0.8077373852503799,0.5195652173913043,0,0,0.8043012371778822,0.8946483038236377,0.533768,0.998232,37.0,25.0,15.0
telugu,zero-shot,gpt_4o,10,0.8324947756265265,0.04391127904059583,0.766,0.3246605064439536,0.8,0.7992473878132633,0.46772575250836124,0,0,0.8010847212720524,0.8639048299810006,0.533768,0.998232,42.0,25.0,16.0
telugu,zero-shot,mistralai_Mistral_7B_Instruct_v0_2,10,0.4318269892115844,0.2483487172033696,0.962,0.015491933384829681,1.0,0.6969134946057922,0.5366220735785954,0,0,0.2541813620138417,0.6094726164093272,0.9509185084036489,0.973081491596351,58.0,1.5,37.0
