model,n,raidar_mean,judge_p_ai_mean,judge_ai_rate,combo_mean,combo_rank_mean
mistralai_Mistral_7B_Instruct_v0_2,118,0.5009841334183229,0.9455084745762711,0.9915254237288136,0.7232463039972971,0.4974172382517998
gpt_4o,120,0.8637586118183483,0.7594166666666667,0.7916666666666666,0.8115876392425075,0.5342147435897435
gemma_3_12b_it,119,0.8384858659002353,0.6980672268907564,0.7058823529411765,0.7682765463954958,0.5183770832747815
gemini_2_5_flash,120,0.8842376338967242,0.5324166666666666,0.48333333333333334,0.7083271502816955,0.5298808528428094
gemini_2_5_pro,119,0.8667951942492768,0.323109243697479,0.2184873949579832,0.5949522189733778,0.42328068351086257
